,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-01-01 00:00:00,,13715.65,13715.65,13155.38,13203.06,827.053205,1514771999999.0,11148431.39117344,9762.0,409.362324,5520990.59872621,0.0
2018-01-01 02:00:00,,13203.0,13611.27,13200.0,13410.03,849.151602,1514779199999.0,11367640.47583378,9676.0,330.156342,4416545.91510274,0.0
2018-01-01 04:00:00,,13434.98,13699.0,13322.15,13558.99,745.036375,1514786399999.0,10087101.93304109,9649.0,315.288693,4263768.08006951,0.0
2018-01-01 06:00:00,,13539.0,13818.55,13510.0,13570.35,557.178461,1514793599999.0,7615433.79154697,8412.0,273.227529,3735027.48195626,0.0
2018-01-01 08:00:00,,13569.98,13735.24,13400.0,13616.99,484.909382,1514800799999.0,6575049.29109136,6861.0,219.279895,2974657.91544409,0.0
2018-01-01 10:00:00,,13632.0,13657.92,13001.13,13220.56,834.846549,1514807999999.0,11076158.90564417,10339.0,363.388398,4817450.98399715,0.0
2018-01-01 12:00:00,,13220.56,13300.0,12815.7,13017.0,712.393834,1514815199999.0,9306558.06150996,9337.0,363.765416,4748134.88769384,0.0
2018-01-01 14:00:00,,12999.71,13330.0,12750.0,13247.0,1119.539319,1514822399999.0,14606032.98044572,12020.0,466.549331,6084903.22486977,0.0
2018-01-01 16:00:00,,13247.0,13247.08,12966.42,13022.0,595.965594,1514829599999.0,7812334.72569767,6982.0,304.911436,3997429.28279323,0.0
2018-01-01 18:00:00,,13007.87,13290.65,12940.0,13240.37,496.37164,1514836799999.0,6536535.88807676,6196.0,252.542343,3326890.28462646,0.0
2018-01-01 20:00:00,,13222.03,13580.67,13222.03,13481.01,738.950003,1514843999999.0,9934408.95558684,8637.0,396.178047,5325019.40996166,0.0
2018-01-01 22:00:00,,13494.99,13599.7,13355.01,13380.0,648.51988,1514851199999.0,8734061.04232281,7724.0,267.289192,3598929.37513953,0.0
2018-01-02 00:00:00,,13382.16,13850.0,13382.16,13600.0,984.058039,1514858399999.0,13465393.53108901,12023.0,471.885133,6461634.25491539,0.0
2018-01-02 02:00:00,,13611.93,13678.33,13231.96,13353.78,1381.474887,1514865599999.0,18588235.77586164,16289.0,629.665835,8460650.74436829,0.0
2018-01-02 04:00:00,,13353.78,13480.84,12890.02,13166.95,1592.421638,1514872799999.0,20975377.77917262,13735.0,831.262089,10959755.37856666,0.0
2018-01-02 06:00:00,,13166.95,13359.98,13041.5,13343.0,1387.894415,1514879999999.0,18370890.78904318,9079.0,831.601538,11009180.74837767,0.0
2018-01-02 08:00:00,,13343.01,13523.46,13302.59,13452.0,1257.186433,1514887199999.0,16837288.95054561,8761.0,775.543946,10387946.97342362,0.0
2018-01-02 10:00:00,,13460.0,13617.28,13401.05,13490.0,1338.996241,1514894399999.0,18093334.34047286,9752.0,802.904543,10850303.11554974,0.0
2018-01-02 12:00:00,,13490.0,13875.0,13450.46,13864.98,1708.042273,1514901599999.0,23287390.63505326,14949.0,1067.655091,14553747.73876679,0.0
2018-01-02 14:00:00,,13864.95,13894.86,13510.0,13690.03,1657.837235,1514908799999.0,22679869.73381836,14452.0,973.336995,13314929.21418834,0.0
2018-01-02 16:00:00,,13690.02,13842.88,13503.0,13780.0,1838.357861,1514915999999.0,25237853.18553977,14765.0,1066.660086,14647489.36813084,0.0
2018-01-02 18:00:00,,13789.98,15473.49,13755.43,14732.75,3251.915622,1514923199999.0,47618044.53203322,34292.0,1799.054957,26335472.73253474,0.0
2018-01-02 20:00:00,,14710.02,15160.31,14544.0,14692.4,2057.372313,1514930399999.0,30574715.61097461,17538.0,1168.428053,17376329.71811144,0.0
2018-01-02 22:00:00,,14700.0,15025.0,14600.0,14675.11,1622.535154,1514937599999.0,23988712.57011506,12093.0,928.328473,13722648.6963833,0.0
2018-01-03 00:00:00,,14690.0,14926.22,14660.0,14820.0,1449.78613,1514944799999.0,21424029.48984755,11307.0,840.96199,12427912.57229622,0.0
2018-01-03 02:00:00,,14847.97,15299.99,14744.99,14818.49,1854.04746,1514951999999.0,27749944.33563541,15798.0,1050.882782,15728635.38949765,0.0
2018-01-03 04:00:00,,14805.81,15117.56,14795.05,14988.0,1641.404519,1514959199999.0,24649138.18145042,12628.0,1027.203485,15429118.99660242,0.0
2018-01-03 06:00:00,,14980.89,15307.56,14858.01,15170.0,1570.297548,1514966399999.0,23711128.47977511,15220.0,902.280119,13626796.17560502,0.0
2018-01-03 08:00:00,,15170.0,15172.99,14440.0,14519.99,2137.839534,1514973599999.0,31785189.43192796,19378.0,1191.565419,17735947.58304689,0.0
2018-01-03 10:00:00,,14501.05,14855.0,14150.0,14730.05,2064.963408,1514980799999.0,29873729.40230938,18473.0,1145.163394,16585777.99743913,0.0
2018-01-03 12:00:00,,14764.73,14890.0,14400.04,14855.02,995.127887,1514987999999.0,14596941.24123009,12321.0,556.764184,8167638.14402525,0.0
2018-01-03 14:00:00,,14859.98,15045.51,14758.0,15033.77,1087.606238,1514995199999.0,16200848.25362218,14375.0,546.144957,8136489.97419658,0.0
2018-01-03 16:00:00,,15045.0,15130.0,14779.83,14800.0,866.947052,1515002399999.0,12999982.21785105,12042.0,408.116538,6121206.05144859,0.0
2018-01-03 18:00:00,,14800.0,14899.86,14671.0,14700.01,792.750301,1515009599999.0,11715828.833126,12040.0,395.289641,5843057.80925351,0.0
2018-01-03 20:00:00,,14700.01,14990.0,14683.0,14926.96,535.314197,1515016799999.0,7940173.8031286,8358.0,272.64873,4044926.33862531,0.0
2018-01-03 22:00:00,,14926.96,14949.0,14710.0,14919.51,909.583365,1515023999999.0,13469934.66628636,10847.0,657.932327,9739826.21331151,0.0
2018-01-04 00:00:00,,14919.51,15179.0,14649.99,15172.12,2002.474003,1515031199999.0,29673018.0596006,16207.0,1453.22115,21536457.03732098,0.0
2018-01-04 02:00:00,,15175.0,15280.0,15059.0,15119.97,1060.061643,1515034814838.0,16123171.85894015,9694.0,585.207581,8902477.36740641,0.0
2018-01-04 04:00:00,,15119.97,15119.97,14730.0,14875.1,888.843951,1515045599999.0,13217032.22275423,7247.0,467.652514,6954218.7876047,0.0
2018-01-04 06:00:00,,14890.0,15100.0,14685.0,14748.0,1951.056491,1515052799999.0,28998738.20110687,15596.0,1173.431708,17437129.94596885,0.0
2018-01-04 08:00:00,,14734.07,14800.0,13918.04,14299.01,2329.055792,1515059999999.0,33466754.26361286,20384.0,1282.621804,18469722.62381137,0.0
2018-01-04 10:00:00,,14299.01,14571.78,14214.8,14539.97,2010.496259,1515067199999.0,28946075.22881115,12960.0,1203.75911,17331368.33237812,0.0
2018-01-04 12:00:00,,14539.99,14653.4,14181.88,14518.95,1788.22705,1515074399999.0,25884036.07927998,16535.0,984.469342,14257918.10895958,0.0
2018-01-04 14:00:00,,14518.95,14600.8,14270.01,14353.01,2172.604135,1515081599999.0,31384221.19032833,16443.0,1269.056614,18333995.06556452,0.0
2018-01-04 16:00:00,,14367.99,14648.89,14238.01,14648.89,1995.358896,1515088799999.0,28820493.69971801,15127.0,1140.456092,16485861.03180731,0.0
2018-01-04 18:00:00,,14648.0,14988.0,14630.0,14895.19,1641.25723,1515095999999.0,24301586.29911147,13543.0,876.86787,12980990.30114939,0.0
2018-01-04 20:00:00,,14905.0,15011.0,14722.65,14797.88,1835.18606,1515103199999.0,27338497.50435187,15099.0,1137.440509,16952002.53647546,0.0
2018-01-04 22:00:00,,14797.89,15100.08,14601.0,15059.54,1655.028064,1515110399999.0,24627959.1906923,11475.0,1106.628657,16474651.87314262,0.0
2018-01-05 00:00:00,,15059.56,15100.0,14802.0,15040.0,1624.006021,1515117599999.0,24300899.0236352,12471.0,994.478415,14881624.06367397,0.0
2018-01-05 02:00:00,,15038.04,15200.0,14642.0,14965.37,2000.968669,1515124799999.0,30125017.10690257,15580.0,1179.859381,17772668.62400732,0.0
2018-01-05 04:00:00,,14970.0,15083.63,14600.0,15000.0,1810.679609,1515131999999.0,26966864.36701765,14641.0,1088.061833,16211969.83936489,0.0
2018-01-05 06:00:00,,14999.0,15020.0,14700.0,14920.14,1623.81917,1515139199999.0,24244101.64314172,11981.0,950.421882,14195242.16913754,0.0
2018-01-05 08:00:00,,14916.95,16111.0,14880.0,15880.39,2346.363268,1515146399999.0,36488360.98083488,22669.0,1336.6597,20781954.58780805,0.0
2018-01-05 10:00:00,,15873.5,16350.0,15826.37,16090.69,1888.961494,1515153599999.0,30330663.05966487,18927.0,1050.744541,16872229.29822641,0.0
2018-01-05 12:00:00,,16090.7,16199.0,15750.0,16093.94,2001.742545,1515160799999.0,31934554.71921891,15511.0,1142.324192,18229684.15980835,0.0
2018-01-05 14:00:00,,16071.62,16267.04,15901.01,16087.72,1779.05849,1515167999999.0,28623182.83777568,14641.0,990.463725,15937341.43770976,0.0
2018-01-05 16:00:00,,16094.99,17118.13,16087.73,16650.0,1945.193639,1515175199999.0,32112289.32817502,20598.0,1190.108825,19647503.18098961,0.0
2018-01-05 18:00:00,,16650.0,16988.0,16310.0,16593.01,2265.921189,1515182399999.0,37642401.24742841,17027.0,1130.18031,18771953.54820373,0.0
2018-01-05 20:00:00,,16594.14,16950.0,16353.0,16799.95,2138.477349,1515189599999.0,35598327.77311743,12931.0,1207.671616,20124853.67449435,0.0
2018-01-05 22:00:00,,16799.94,17176.24,16645.24,16960.39,1826.299682,1515196799999.0,30955294.39992519,15992.0,1085.647873,18402876.09555826,0.0
2018-01-06 00:00:00,,16960.39,17099.99,16677.98,17025.03,1934.177888,1515203999999.0,32711668.81401404,15640.0,1183.655643,20023263.4005572,0.0
2018-01-06 02:00:00,,17025.03,17073.26,16288.0,16521.59,2313.535752,1515211199999.0,38589163.49838584,18760.0,1325.463177,22131035.41280877,0.0
2018-01-06 04:00:00,,16521.57,16750.0,16300.0,16642.84,1502.458519,1515218399999.0,24761259.10398236,11955.0,862.294763,14216526.57038719,0.0
2018-01-06 06:00:00,,16637.82,16719.38,16415.21,16518.0,661.521913,1515225599999.0,10959535.7044081,8356.0,310.394803,5142200.22578561,0.0
2018-01-06 08:00:00,,16500.18,16600.0,16340.0,16419.96,1158.58093,1515232799999.0,19080566.96640442,10729.0,719.903019,11859993.70263393,0.0
2018-01-06 10:00:00,,16419.95,16750.01,16390.0,16529.89,1411.423933,1515239999999.0,23412148.0582003,11930.0,821.698661,13627284.40381709,0.0
2018-01-06 12:00:00,,16505.16,16557.36,16011.21,16168.0,1818.791801,1515247199999.0,29665337.82343508,15908.0,1031.102447,16825197.29650438,0.0
2018-01-06 14:00:00,,16159.69,16639.0,16145.0,16556.22,1818.162018,1515254399999.0,29872398.26640376,14744.0,1044.204942,17157824.47012241,0.0
2018-01-06 16:00:00,,16550.04,16982.0,16501.75,16889.93,1588.409273,1515261599999.0,26620685.41068516,12698.0,962.006751,16131271.88925736,0.0
2018-01-06 18:00:00,,16854.03,16929.99,16582.98,16770.01,1617.278348,1515268799999.0,27126692.80550778,13987.0,934.249531,15674778.51955066,0.0
2018-01-06 20:00:00,,16770.01,16877.18,16612.18,16790.99,1267.742093,1515275999999.0,21242186.10750137,10340.0,808.337413,13547332.45530905,0.0
2018-01-06 22:00:00,,16790.99,17143.13,16790.0,17069.79,1479.37504,1515283199999.0,25175278.42748221,13195.0,1003.852906,17081060.71564354,0.0
2018-01-07 00:00:00,,17069.79,17099.96,16792.01,16951.02,1509.639946,1515290399999.0,25585920.45051493,12025.0,882.719969,14962914.87782815,0.0
2018-01-07 02:00:00,,16951.02,16967.97,16605.01,16740.68,1644.664657,1515297599999.0,27566097.21705068,10681.0,1021.122648,17120853.76963014,0.0
2018-01-07 04:00:00,,16727.93,16744.94,16400.0,16564.0,1474.148184,1515304799999.0,24473898.48101946,11441.0,883.583907,14669090.07528651,0.0
2018-01-07 06:00:00,,16564.0,16749.98,16400.0,16746.99,1299.415064,1515311999999.0,21514502.38874243,10252.0,767.332037,12708782.95450476,0.0
2018-01-07 08:00:00,,16747.0,16886.75,16579.33,16690.06,1084.300253,1515319199999.0,18184842.95912989,8489.0,658.04899,11040707.23711248,0.0
2018-01-07 10:00:00,,16690.06,16814.72,16560.02,16607.0,391.406267,1515326399999.0,6545260.1827209,6338.0,212.148234,3548295.08887226,0.0
2018-01-07 12:00:00,,16611.0,16649.05,16300.0,16386.0,616.903726,1515333599999.0,10165054.14371908,8799.0,282.054228,4646532.01146981,0.0
2018-01-07 14:00:00,,16386.0,16592.0,16376.99,16439.65,596.147739,1515340799999.0,9833910.41267778,8168.0,284.341316,4692808.80803861,0.0
2018-01-07 16:00:00,,16439.64,16474.87,15715.06,15800.01,1748.66317,1515347999999.0,28120934.27531117,17305.0,801.755803,12904305.57100531,0.0
2018-01-07 18:00:00,,15800.01,16199.96,15610.0,16100.9,1029.792013,1515355199999.0,16385782.07428639,12804.0,504.250991,8028008.72482219,0.0
